@HD	VN:1.0	SO:unknown
@SQ	SN:gi|554771600|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|738	LN:738
@SQ	SN:gi|554771875|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|738	LN:738
@SQ	SN:gi|554771267|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|735	LN:735
@SQ	SN:gi|554770566|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|735	LN:735
@SQ	SN:gi|554770225|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|792	LN:792
@SQ	SN:gi|554771267|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|762	LN:762
@SQ	SN:gi|554771813|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|759	LN:759
@SQ	SN:gi|554771875|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|768	LN:768
@SQ	SN:gi|554771267|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|768	LN:768
@SQ	SN:gi|554770632|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|672	LN:672
@SQ	SN:gi|554770632|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|675	LN:675
@SQ	SN:gi|554771211|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|684	LN:684
@SQ	SN:gi|554771875|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|684	LN:684
@SQ	SN:gi|554770632|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|645	LN:645
@SQ	SN:gi|554770632|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|648	LN:648
@SQ	SN:gi|554771875|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|702	LN:702
@SQ	SN:gi|554770365|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|717	LN:717
@SQ	SN:gi|554771875|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|690	LN:690
@SQ	SN:gi|554771600|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|687	LN:687
@SQ	SN:gi|554771875|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|687	LN:687
@SQ	SN:gi|554770457|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|690	LN:690
@SQ	SN:gi|554770365|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|699	LN:699
@SQ	SN:gi|554770225|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|231	LN:231
@SQ	SN:gi|554771013|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|228	LN:228
@SQ	SN:gi|554770632|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|249	LN:249
@SQ	SN:gi|554771875|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|243	LN:243
@SQ	SN:gi|554770632|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|213	LN:213
@SQ	SN:gi|554770632|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|225	LN:225
@SQ	SN:gi|554771267|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|225	LN:225
@SQ	SN:gi|554770632|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|216	LN:216
@SQ	SN:gi|554770632|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|219	LN:219
@SQ	SN:gi|554771600|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|285	LN:285
@SQ	SN:gi|554771600|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|282	LN:282
@SQ	SN:gi|554770632|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|297	LN:297
@SQ	SN:gi|554770566|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|300	LN:300
@SQ	SN:gi|554770365|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|297	LN:297
@SQ	SN:gi|554770632|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|291	LN:291
@SQ	SN:gi|554770949|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|264	LN:264
@SQ	SN:gi|554771875|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|255	LN:255
@SQ	SN:gi|554771067|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|276	LN:276
@SQ	SN:gi|554770632|ti|224768,191553,1581061,1151521,319434,46125,76631,316094|267	LN:267
